time,tavg,tmin,tdew,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,relative_humidity,provincia,latitude,longitude
2015-09-07,26.49,19.88,,,1.47,,,2.21,,,,71.14,Esmeraldas,0.6955,-79.224
2015-09-08,26.87,20.41,,,0.62,,,2.51,,,,71.23,Esmeraldas,0.6955,-79.224
2015-09-09,26.38,19.95,,,0.68,,,2.97,,,,71.68,Esmeraldas,0.6955,-79.224
2015-09-10,25.59,19.65,,,1.19,,,2.39,,,,72.97,Esmeraldas,0.6955,-79.224
2015-09-11,26.87,19.86,,,0.36,,,1.98,,,,69.14,Esmeraldas,0.6955,-79.224
2015-09-12,26.74,20.08,,,0.24,,,2.26,,,,70.25,Esmeraldas,0.6955,-79.224
2015-09-13,27.23,19.2,,,0.01,,,2.25,,,,65.88,Esmeraldas,0.6955,-79.224
2015-09-14,27.18,19.79,,,0.0,,,2.29,,,,67.97,Esmeraldas,0.6955,-79.224
2015-09-15,27.34,20.28,,,0.01,,,2.5,,,,68.96,Esmeraldas,0.6955,-79.224
2015-09-16,27.17,20.35,,,0.08,,,2.85,,,,68.94,Esmeraldas,0.6955,-79.224
2015-09-17,27.3,20.06,,,1.69,,,2.83,,,,68.27,Esmeraldas,0.6955,-79.224
